source_ip,dest_ip,packet_size,time_diff
180.149.145.243,10.8.0.6,45,0.0776299999999992
180.149.145.243,10.8.0.6,45,0.014882999999997537
180.149.145.243,10.8.0.6,242,0.004052999999998974
180.149.145.243,10.8.0.6,45,3.2000000004472895e-05
180.149.145.243,10.8.0.6,45,0.004630000000005907
10.8.0.6,180.149.145.243,1111,0.4840429999999998
10.8.0.6,180.149.145.243,1112,0.014403999999998973
180.149.145.243,10.8.0.6,45,0.4801619999999929
10.8.0.6,8.37.239.2,962,0
10.8.0.6,8.37.239.2,965,0.011048999999999864
10.8.0.6,8.37.239.2,962,0.0011189999999885458
180.149.145.243,10.8.0.6,45,0.3113340000000022
8.37.239.2,10.8.0.6,266,0
10.8.0.6,180.149.145.243,1093,0.6567790000000002
8.37.239.2,10.8.0.6,266,0.02005000000001189
8.37.239.2,10.8.0.6,266,0.008905999999996084
180.149.145.243,10.8.0.6,480,0.3473070000000007
157.185.188.1,10.8.0.6,595,6.507712999999995
10.8.0.6,157.185.188.1,508,80.492913
157.185.188.1,10.8.0.6,313,73.995036
10.8.0.6,213.244.178.254,706,0
213.244.178.254,10.8.0.6,617,0
10.8.0.6,157.185.188.1,293,2.7345730000000117
157.185.188.1,10.8.0.6,316,2.7516009999999937
10.8.0.6,213.244.178.167,709,0
213.244.178.167,10.8.0.6,578,0
10.8.0.6,157.185.188.1,82,69.156735
157.185.188.1,10.8.0.6,752,69.16497900000002
10.8.0.6,175.100.207.206,459,0
175.100.207.206,10.8.0.6,662,0
10.8.0.6,157.185.188.1,1355,46.871733999999975
10.8.0.6,157.185.188.1,409,0.6971320000000105
10.8.0.6,157.185.188.1,409,0.007757000000026437
10.8.0.6,157.185.188.1,409,0.14472599999999147
10.8.0.6,157.185.188.1,409,0.005606000000000222
10.8.0.6,157.185.188.1,409,0.004681000000005042
10.8.0.6,157.185.188.1,409,0.001404999999977008
157.185.188.1,10.8.0.6,599,47.56097200000002
10.8.0.6,157.185.188.1,409,0.0165630000000192
157.185.188.1,10.8.0.6,331,0.019976999999983036
157.185.188.1,10.8.0.6,466,0.10152099999999109
157.185.188.1,10.8.0.6,1251,0.024446000000011736
157.185.188.1,10.8.0.6,761,0.011124999999992724
157.185.188.1,10.8.0.6,532,0.002147999999976946
157.185.188.1,10.8.0.6,725,0.020626999999990403
157.185.188.1,10.8.0.6,937,0.011624000000040269
