src_ip,dest_ip,pkt_size,time_diff,original_class
,,252,0.0033950000001823355,regular http traffic
,,90,0.010881999999583059,regular http traffic
,,90,0.017042000000401458,regular http traffic
,,100,4.952293999999711,regular http traffic
,,100,0.0019959999999628053,regular http traffic
,,100,0.0004490000001169392,regular http traffic
,,90,0.0581569999999374,regular http traffic
,,90,0.006589000000076339,regular http traffic
,,90,0.00963499999988926,regular http traffic
,,90,0.007986999999957334,regular http traffic
,,143,0.006890000000112195,regular http traffic
,,280,0.004408000000239554,regular http traffic
,,262,35.40268900000001,regular http traffic
,,262,0.00044799999977840343,regular http traffic
,,250,0.002347000000099797,regular http traffic
,,246,0.0009999999997489795,regular http traffic
,,267,0.0010959999999613501,regular http traffic
,,272,0.00035100000013699173,regular http traffic
,,766,0.002246000000013737,regular http traffic
,,242,0.032665000000179134,regular http traffic
,,278,0.11270199999989927,regular http traffic
,,253,0.0026979999997820414,regular http traffic
,,267,0.04846900000029564,regular http traffic
,,250,0.000349999999798456,regular http traffic
,,246,0.0007989999999153952,regular http traffic
,,242,0.0012630000001081498,regular http traffic
,,1029,0.057397000000037224,regular http traffic
,,294,0.015421000000060303,regular http traffic
,,273,0.1335359999998218,regular http traffic
,,277,0.0003490000003694149,regular http traffic
,,277,0.0003999999998995918,regular http traffic
,,767,0.0009479999998802668,regular http traffic
,,252,0.00815199999988181,regular http traffic
,,274,0.004228000000239263,regular http traffic
,,262,0.0747799999999188,regular http traffic
,,262,0.002696999999898253,regular http traffic
,,1029,0.16668200000003708,regular http traffic
,,787,0.005591000000094937,regular http traffic
,,267,0.03958699999975579,regular http traffic
,,250,0.0003990000000158034,regular http traffic
,,246,0.0007490000002690067,regular http traffic
,,442,0.0037429999997584673,regular http traffic
,,260,0.05368799999996554,regular http traffic
,,246,0.0007760000003145251,regular http traffic
,,273,0.06524499999977706,regular http traffic
,,267,0.002246000000013737,regular http traffic
,,242,0.0024020000000746222,regular http traffic
,,793,0.0015920000000733125,regular http traffic
,,262,0.0480729999999312,regular http traffic
,,261,0.0015979999998307903,regular http traffic
,,246,0.0007980000000316068,regular http traffic
,,267,0.0933509999999842,regular http traffic
,,262,0.00114800000028481,regular http traffic
,,442,0.01577499999984866,regular http traffic
,,272,0.11326800000006187,regular http traffic
,,792,0.009583999999904336,regular http traffic
,,1029,0.018171000000165805,regular http traffic
,,294,0.06224999999994907,regular http traffic
,,267,0.03329699999994773,regular http traffic
,,442,0.005192000000079133,regular http traffic
,,278,0.18879699999979493,regular http traffic
,,112,0.00365700000020297,regular http traffic
,,108,292.6457540000001,regular http traffic
,,108,0.0007489999998142594,regular http traffic
,,108,0.0018469999995431863,regular http traffic
,,108,0.0012480000004870817,regular http traffic
,,96,0.0004490000001169392,regular http traffic
,,108,0.0003999999998995918,regular http traffic
,,422,0.012130999999499181,regular http traffic
,,223,0.002064000000245869,regular http traffic
,,87,0.003725999999915075,regular http traffic
,,96,0.11826100000052975,regular http traffic
,,478,0.11647999999968306,regular http traffic
,,740,0.0473069999998188,regular http traffic
,,108,4.706213000000389,regular http traffic
,,108,0.0009920000002239249,regular http traffic
,,97,0.002246999999442778,regular http traffic
,,97,0.0030440000000453438,regular http traffic
,,112,0.008287000000564149,regular http traffic
,,112,0.0014979999996285187,regular http traffic
,,97,0.0011979999999311985,regular http traffic
,,97,0.0017969999998967978,regular http traffic
,,112,0.03020199999991746,regular http traffic
,,253,0.0036939999999958673,regular http traffic
,,90,0.035842000000229746,regular http traffic
,,90,0.07008800000039628,regular http traffic
,,100,5.000883999999132,regular http traffic
,,90,0.01896900000065216,regular http traffic
,,90,0.007289000000127999,regular http traffic
,,90,0.009933999999702792,regular http traffic
,,90,0.005989999999655993,regular http traffic
,,143,0.004593000000568281,regular http traffic
,,280,0.0036499999996522092,regular http traffic
,,262,35.27874500000053,regular http traffic
,,277,0.0004489999992074445,regular http traffic
,,262,0.0011490000006233458,regular http traffic
,,267,0.0010480000000825385,regular http traffic
,,250,0.0008479999996779952,regular http traffic
,,267,0.0006499999999505235,regular http traffic
,,246,0.00034899999991466757,regular http traffic
,,275,0.0014120000005277689,regular http traffic
,,260,0.00028499999916675733,regular http traffic
,,246,0.0013480000006893533,regular http traffic
,,441,0.007886999999755062,regular http traffic
,,242,0.0025120000000242726,regular http traffic
,,261,0.16751599999952305,regular http traffic
,,246,0.0008480000005874899,regular http traffic
,,278,1.7999999727180693e-05,regular http traffic
,,253,0.004992000000129337,regular http traffic
,,250,0.049302999999781605,regular http traffic
,,267,0.000849000000016531,regular http traffic
,,277,0.0011979999999311985,regular http traffic
,,272,0.0013480000006893533,regular http traffic
,,242,0.0012689999994108803,regular http traffic
,,766,0.0005280000004859176,regular http traffic
,,246,0.0006489999996119877,regular http traffic
,,252,0.0011169999997946434,regular http traffic
,,294,0.05624100000022736,regular http traffic
,,1029,0.004393000000163738,regular http traffic
,,267,0.13483499999983906,regular http traffic
,,442,0.023011000000224158,regular http traffic
,,267,0.08930799999961891,regular http traffic
,,272,0.0016470000000481377,regular http traffic
,,242,0.001164999999673455,regular http traffic
,,792,0.00035200000002078013,regular http traffic
,,262,0.08105100000011589,regular http traffic
,,262,0.00039900000047055073,regular http traffic
,,278,0.067841000000044,regular http traffic
,,113,0.005098999999972875,regular http traffic
,,267,0.06478900000001886,regular http traffic
,,441,0.012281000000257336,regular http traffic
,,1029,0.02271299999938492,regular http traffic
,,294,0.02376300000014453,regular http traffic
,,250,0.021665000000211876,regular http traffic
,,246,0.0012980000001334702,regular http traffic
,,273,0.11681199999929959,regular http traffic
,,273,0.00039900000047055073,regular http traffic
